Date,Open,High,Low,Close,Adj Close,Volume,30d,signal
2014-10-17,382.756012,385.477997,375.389008,383.757996,383.757996,13600700.0,457.334015,-0.16088026822146617
2014-10-18,383.976013,395.15799,378.971008,391.441986,391.441986,11416800.0,424.440002,-0.07774483046958426
2014-10-19,391.253998,393.938995,386.457001,389.54599,389.54599,5914570.0,394.79599,-0.013298007408839182
2014-10-20,389.230988,390.084015,378.252014,382.845001,382.845001,16419000.0,408.903992,-0.06372887403848088
2014-10-21,382.42099,392.645996,380.834015,386.475006,386.475006,14188900.0,398.821014,-0.03095626250025026
2014-10-22,386.118011,388.575989,382.248993,383.15799,383.15799,11641300.0,402.152008,-0.04723094158962906
2014-10-23,382.962006,385.048004,356.446991,358.416992,358.416992,26456900.0,435.790985,-0.1775484020166227
2014-10-24,358.591003,364.345001,353.304993,358.345001,358.345001,15585700.0,423.204987,-0.1532590304754608
2014-10-25,358.610992,359.860992,342.877014,347.270996,347.270996,18127500.0,411.574005,-0.15623680849328658
2014-10-26,347.487,359.221008,343.931,354.70401,354.70401,11272500.0,404.424988,-0.12294239840590662
2014-10-27,354.777008,358.631989,349.80899,352.989014,352.989014,13033000.0,399.519989,-0.11646720134446142
2014-10-28,353.214996,359.984009,352.678986,357.618011,357.618011,7845880.0,377.181,-0.051866316171811304
2014-10-29,357.088989,357.833008,335.342987,335.591003,335.591003,18192700.0,375.46701,-0.10620375675615286
2014-10-30,335.709015,350.912994,335.071991,345.304993,345.304993,30177900.0,386.944,-0.10760990479242472
2014-10-31,345.009003,348.045013,337.141998,338.321014,338.321014,12545400.0,383.61499,-0.11807144449699421
2014-11-01,338.649994,340.528992,321.054993,325.748993,325.748993,16677200.0,375.071991,-0.13150274929486813
2014-11-02,326.075012,329.049988,320.626007,325.891998,325.891998,8603620.0,359.511993,-0.0935156424670373
2014-11-03,325.569,334.002014,325.480988,327.553986,327.553986,12948500.0,328.865997,-0.003989500319183148
2014-11-04,327.161011,331.766998,325.076996,330.492004,330.492004,15655500.0,320.51001,0.03114409437633472
2014-11-05,330.683014,343.368988,330.683014,339.485992,339.485992,19817200.0,330.07901,0.028499182665386775
2014-11-06,339.458008,352.966003,338.424011,349.290009,349.290009,18797000.0,336.187012,0.03897532186639029
2014-11-07,349.817993,352.731995,341.776001,342.415009,342.415009,16834200.0,352.940002,-0.02982091273405726
2014-11-08,342.153992,347.032013,342.153992,345.488007,345.488007,8535470.0,365.026001,-0.053524937802992355
2014-11-09,345.376007,363.626007,344.255005,363.264008,363.264008,24205600.0,361.562012,0.004707341876391617
2014-11-10,362.265015,374.81601,357.561005,366.924011,366.924011,30450100.0,362.299011,0.012765698662092125
2014-11-11,365.856995,371.309998,363.734985,367.695007,367.695007,15838900.0,378.549011,-0.028672651848508018
2014-11-12,367.984985,429.717987,367.984985,423.561005,423.561005,45783200.0,390.414001,0.08490219079002763
2014-11-13,427.27301,457.092987,401.122986,420.734985,420.734985,58945000.0,400.869995,0.04955469415963641
2014-11-14,418.416992,419.252014,384.789001,397.817993,397.817993,29589200.0,394.77301,0.007713250204212294
2014-11-15,399.649994,405.528015,371.007996,376.132996,376.132996,15727500.0,382.556,-0.01678970921904242
2014-11-16,374.730011,390.799011,374.60199,387.881989,387.881989,11905600.0,383.757996,0.010746337647646004
2014-11-17,388.348999,410.199005,377.502014,387.40799,387.40799,41518800.0,391.441986,-0.010305476020142618
2014-11-18,387.785004,392.402008,371.117004,375.197998,375.197998,32222500.0,389.54599,-0.03683260094655327
2014-11-19,373.895996,386.480988,373.895996,380.554993,380.554993,18931800.0,382.845001,-0.005981553876943531
2014-11-20,380.307007,382.024994,356.781006,357.839996,357.839996,25233200.0,386.475006,-0.07409278622276552
2014-11-21,357.878998,357.878998,344.112,350.847992,350.847992,29850100.0,383.15799,-0.0843255232652202
2014-11-22,351.604004,364.841003,350.877991,352.920013,352.920013,15273000.0,358.416992,-0.015336825883522873
2014-11-23,353.174988,370.845001,353.174988,367.572998,367.572998,15151600.0,358.345001,0.025751711267767787
2014-11-24,366.947998,387.209015,366.669006,376.901001,376.901001,30930100.0,347.270996,0.08532242928804794
2014-11-25,376.885986,394.700989,374.783997,375.347992,375.347992,25442200.0,354.70401,0.058200588146719835
2014-11-26,376.019012,377.697998,365.81601,368.369995,368.369995,18601700.0,352.989014,0.04357354022354934
2014-11-27,370.502014,373.992004,368.282013,369.670013,369.670013,8748030.0,357.618011,0.03370076905886029
2014-11-28,369.373993,382.838013,358.454987,376.446991,376.446991,22946500.0,335.591003,0.12174339489071472
2014-11-29,376.152008,387.601013,372.144989,375.490997,375.490997,15375600.0,345.304993,0.08741838262385035
2014-11-30,375.51001,382.527008,373.30899,378.046997,378.046997,9194440.0,338.321014,0.11742097403385054
2014-12-01,378.248993,383.661987,376.669006,379.244995,379.244995,11763000.0,325.748993,0.16422461204661357
2014-12-02,379.25,384.037994,377.863007,381.315002,381.315002,12364100.0,325.891998,0.17006555650378377
2014-12-03,381.721985,383.026001,374.346008,375.01001,375.01001,13340100.0,327.553986,0.14488000765773007
2014-12-04,375.717987,378.654999,367.759003,369.604004,369.604004,14529600.0,330.492004,0.11834476939417864
2014-12-05,369.441986,379.191986,365.756012,376.854004,376.854004,15181800.0,339.485992,0.11007232369104633
2014-12-06,376.756989,378.447998,370.945007,374.785004,374.785004,7009320.0,349.290009,0.07299090825125781
2014-12-07,374.835999,376.291992,373.274994,375.095001,375.095001,6491650.0,342.415009,0.09543971829809605
2014-12-08,374.964996,376.028992,361.885986,361.908997,361.908997,18898700.0,345.488007,0.04752984088388347
2014-12-09,361.894989,363.066986,344.950989,352.218994,352.218994,32915500.0,363.264008,-0.030404922471702678
2014-12-10,352.204987,352.384003,346.36499,346.36499,346.36499,16427700.0,366.924011,-0.05603073220520319
2014-12-11,344.339996,361.356995,338.763,350.506012,350.506012,32431300.0,367.695007,-0.04674796957468606
2014-12-12,350.833008,352.983002,349.290985,352.541992,352.541992,16989800.0,423.561005,-0.16767127323253006
2014-12-13,352.381012,352.381012,346.588013,347.376007,347.376007,11675900.0,420.734985,-0.17435911111599142
2014-12-14,346.72699,353.31601,345.417999,351.631989,351.631989,12415200.0,397.817993,-0.1160983284132149
2014-12-15,351.360992,351.815002,344.93399,345.345001,345.345001,17264200.0,376.132996,-0.08185401261632459
2014-12-16,345.673004,345.859009,327.062012,327.062012,327.062012,30864900.0,387.881989,-0.1568002091481489
2014-12-17,326.855011,333.95401,315.152008,319.776001,319.776001,37567900.0,387.40799,-0.1745756172968967
2014-12-18,319.785004,323.709015,304.231995,311.395996,311.395996,39173000.0,375.197998,-0.17004888709454138
2014-12-19,311.178986,318.53299,306.769012,317.842987,317.842987,23823100.0,380.554993,-0.16479091630260131
2014-12-20,317.618988,330.325012,316.044006,329.955994,329.955994,20856700.0,357.839996,-0.0779231005804058
2014-12-21,329.542999,329.628998,318.903015,320.842987,320.842987,15207600.0,350.847992,-0.08552138157883482
2014-12-22,321.067993,334.117004,320.424988,331.885986,331.885986,22315100.0,352.920013,-0.05959998363708544
2014-12-23,332.016998,336.286987,329.60199,334.571991,334.571991,16574200.0,367.572998,-0.08978082497779111
2014-12-24,334.38501,334.740997,321.356995,322.533997,322.533997,15092300.0,376.901001,-0.14424743859993094
2014-12-25,322.286011,322.670013,316.958008,319.007996,319.007996,9883640.0,375.347992,-0.15010069908672907
2014-12-26,319.152008,331.424011,316.627014,327.924011,327.924011,16410500.0,368.369995,-0.10979717281262283
